event_type,logical_clock_time,message_queue_length,system_time
sendall,1,0,166
send,2,0,318
received,4,0,467
received,5,0,612
received,6,1,760
received,7,0,908
send,8,0,1063
received,11,0,1211
send,12,0,1363
send,13,0,1511
send,14,0,1663
send,15,0,1812
sendall,16,0,1969
send,17,0,2122
send,18,0,2275
internal,19,0,2424
received,23,0,2569
received,25,1,2718
received,26,1,2865
received,27,0,3013
send,28,0,3167
send,29,0,3321
send,30,0,3474
received,34,0,3622
send,35,0,3775
internal,36,0,3924
send,37,0,4078
received,40,0,4221
received,41,0,4369
received,42,0,4515
received,43,0,4663
received,45,0,4811
send,46,0,4965
received,47,1,5114
received,48,1,5262
received,49,0,5410
received,51,0,5558
send,52,0,5712
received,55,0,5860
send,56,0,6013
received,57,0,6161
send,58,0,6314
send,59,1,6468
received,61,0,6617
send,62,0,6769
send,63,0,6922
send,64,0,7074
send,65,0,7227
send,66,0,7381
send,67,0,7534
received,70,0,7678
received,71,0,7826
received,72,0,7974
received,75,0,8122
send,76,0,8275
received,78,0,8423
received,79,0,8571
send,80,0,8724
send,81,0,8877
send,82,0,9028
received,85,0,9176
received,86,0,9324
received,87,0,9472
received,88,1,9620
received,89,0,9769
received,90,0,9917
sendall,91,0,10077
send,92,0,10231
received,96,0,10379
received,97,0,10528
send,98,0,10681
received,100,0,10829
received,101,0,10978
received,102,1,11126
received,103,3,11270
received,104,2,11418
received,105,2,11566
received,106,1,11714
received,107,1,11858
received,109,0,12007
received,111,1,12155
received,112,1,12301
received,113,1,12449
received,115,0,12598
received,116,1,12747
received,117,0,12893
received,120,1,13041
received,121,1,13189
received,122,0,13337
send,123,0,13490
received,125,0,13638
send,126,0,13791
send,127,0,13939
send,128,0,14092
received,132,0,14240
received,133,0,14388
received,134,1,14537
received,135,0,14685
received,137,1,14832
received,138,0,14978
received,139,0,15126
received,141,0,15274
send,142,0,15428
send,143,1,15580
received,145,0,15729
received,147,0,15877
received,148,0,16025
received,149,0,16173
send,150,0,16332
send,151,0,16484
send,152,0,16637
received,154,1,16785
received,156,0,16932
received,157,0,17080
send,158,0,17232
sendall,159,0,17385
send,160,0,17538
internal,161,0,17686
sendall,162,0,17847
received,165,0,17995
send,166,0,18150
send,167,0,18302
received,170,1,18450
received,171,1,18598
received,172,2,18746
received,173,2,18894
received,174,1,19043
received,175,1,19191
received,177,0,19339
send,178,0,19496
received,182,0,19644
internal,183,0,19790
received,184,0,19938
received,185,0,20086
received,186,0,20235
received,187,0,20383
send,188,0,20534
received,189,0,20682
sendall,190,1,20846
received,192,0,20994
internal,193,0,21142
send,194,0,21290
received,195,0,21439
received,196,0,21587
send,197,0,21738
send,198,0,21893
send,199,0,22042
send,200,0,22194
sendall,201,0,22351
send,202,0,22504
received,206,0,22652
received,207,1,22800
received,208,0,22948
received,209,1,23092
received,210,3,23240
received,211,2,23384
received,212,3,23532
received,213,3,23681
received,214,2,23829
received,215,1,23977
received,216,1,24125
received,219,0,24273
send,220,0,24426
send,221,0,24579
send,222,0,24731
send,223,0,24881
send,224,0,25035
send,225,0,25190
send,226,0,25345
received,232,0,25493
send,233,0,25645
send,234,0,25799
received,236,1,25947
received,237,1,26095
received,238,0,26244
received,240,1,26392
received,241,1,26536
received,242,2,26684
received,244,1,26832
received,245,0,26980
send,246,0,27133
send,247,0,27285
received,251,0,27433
received,252,0,27581
send,253,0,27733
received,254,0,27882
received,256,0,28030
received,257,0,28178
received,258,0,28326
received,259,1,28474
received,260,1,28623
received,261,0,28771
received,262,1,28919
received,263,1,29067
received,264,0,29215
received,267,0,29364
send,268,0,29516
received,270,0,29664
send,271,0,29817
internal,272,0,29965
received,275,0,30113
send,276,0,30264
send,277,0,30423
received,279,0,30571
received,280,0,30720
send,281,0,30881
received,283,0,31027
send,284,1,31178
received,285,1,31324
received,286,1,31472
received,287,0,31620
received,289,1,31768
received,290,1,31916
received,291,0,32065
send,292,0,32214
received,294,0,32363
send,295,0,32516
received,297,0,32663
received,298,0,32811
received,299,0,32959
received,300,0,33108
sendall,301,0,33262
send,302,0,33412
received,304,0,33560
internal,305,0,33708
received,307,0,33855
received,308,0,34002
received,309,0,34151
sendall,310,0,34308
received,313,0,34456
send,314,0,34608
received,316,0,34756
received,317,0,34902
received,319,0,35047
received,320,1,35195
received,321,1,35343
received,322,0,35496
received,323,0,35640
received,324,1,35795
received,325,1,35940
received,326,1,36087
received,327,1,36235
received,328,2,36383
received,329,1,36531
received,330,0,36680
received,334,0,36828
send,335,0,36981
received,336,0,37129
internal,337,0,37277
send,338,0,37426
internal,339,0,37575
send,340,0,37730
received,343,0,37876
send,344,0,38032
send,345,0,38212
received,347,1,38385
received,348,0,38542
received,349,1,38690
received,350,1,38848
received,351,1,38996
received,353,1,39144
received,354,2,39292
received,355,1,39450
received,356,2,39598
received,357,3,39746
received,358,2,39890
received,359,2,40034
received,360,1,40183
received,361,1,40331
received,363,1,40479
received,364,2,40630
received,365,1,40775
received,366,1,40924
received,368,3,41069
received,369,3,41213
received,370,2,41361
received,371,2,41509
received,372,1,41658
received,373,1,41806
received,376,2,41954
received,377,3,42102
received,378,3,42250
received,379,3,42398
received,380,2,42546
received,381,4,42694
received,382,4,42843
received,383,4,42991
received,384,3,43134
received,385,2,43279
received,386,2,43427
received,387,1,43575
received,391,0,43723
received,395,0,43871
received,396,0,44020
send,397,0,44169
received,399,0,44317
send,400,0,44472
received,404,0,44620
received,405,1,44768
received,406,1,44916
received,407,1,45064
received,408,1,45212
received,409,0,45361
received,411,0,45508
send,412,0,45660
internal,413,0,45808
received,415,1,45953
received,416,0,46101
sendall,417,0,46261
received,418,0,46409
received,420,0,46558
send,421,0,46710
internal,422,0,46858
received,424,0,47006
received,425,0,47154
sendall,426,0,47311
internal,427,0,47459
received,429,1,47606
received,430,0,47751
received,432,0,47899
received,433,1,48047
received,434,2,48195
received,435,2,48340
received,436,1,48488
received,437,1,48637
received,438,0,48787
received,441,1,48932
received,442,2,49080
received,443,2,49228
received,444,3,49376
received,445,4,49524
received,446,4,49673
received,447,4,49821
received,448,5,49969
received,449,4,50118
received,450,3,50262
received,451,2,50410
received,452,3,50558
received,453,2,50707
