event_type,logical_clock_time,message_queue_length,system_time
internal,1,0,4
sendall,2,1,23
received,4,0,25
internal,5,0,28
internal,6,0,30
send,7,0,37
internal,8,0,39
internal,9,0,42
received,10,0,44
send,11,0,52
send,12,0,58
send,13,0,65
sendall,14,1,75
received,17,0,78
internal,18,0,80
send,19,0,86
received,20,0,89
send,21,1,96
received,22,0,98
internal,23,0,101
internal,24,0,103
sendall,25,0,112
internal,26,0,115
received,27,0,117
internal,28,0,120
internal,29,0,122
internal,30,0,125
internal,31,0,128
send,32,0,135
internal,33,0,138
internal,34,0,140
internal,35,0,143
send,36,0,150
internal,37,0,153
received,39,0,156
internal,40,0,158
internal,41,0,161
internal,42,0,163
send,43,0,170
send,44,0,179
send,45,0,185
internal,46,0,187
internal,47,0,190
internal,48,0,193
received,53,0,198
internal,54,0,200
internal,55,0,203
internal,56,0,205
internal,57,0,208
send,58,1,213
received,59,0,216
internal,60,0,218
internal,61,0,221
internal,62,0,224
internal,63,0,226
internal,64,0,229
received,65,0,232
internal,66,0,234
send,67,0,243
internal,68,0,246
internal,69,0,248
send,70,0,255
internal,71,0,258
received,72,0,261
send,73,0,268
internal,74,0,271
send,75,1,277
received,76,0,279
internal,77,0,282
internal,78,0,285
internal,79,0,287
internal,80,0,290
internal,81,0,292
internal,82,1,296
received,83,0,298
internal,84,0,300
internal,85,0,303
sendall,86,1,313
received,87,0,315
sendall,88,1,325
received,90,0,328
internal,91,0,331
send,92,0,338
received,93,0,341
internal,94,0,343
send,95,1,351
received,96,0,354
sendall,97,1,362
received,98,0,365
sendall,99,1,374
received,100,0,377
send,101,0,383
send,102,0,389
internal,103,0,391
received,107,0,394
internal,108,0,397
internal,109,1,400
received,110,0,403
send,111,0,409
sendall,112,0,419
send,113,0,427
internal,114,0,430
internal,115,1,433
received,116,0,435
internal,117,0,438
internal,118,0,440
internal,119,0,443
internal,120,0,445
internal,121,0,448
internal,122,0,451
received,123,0,453
internal,124,0,456
internal,125,0,458
internal,126,0,461
internal,127,0,463
send,128,1,469
received,129,0,472
internal,130,0,474
internal,131,0,477
sendall,132,1,512
received,140,0,514
internal,141,0,517
internal,142,0,519
sendall,143,0,530
internal,144,0,532
internal,145,0,535
received,149,0,538
send,150,0,546
internal,151,0,549
internal,152,0,551
received,153,0,554
internal,154,0,557
send,155,0,563
internal,156,0,565
internal,157,0,568
internal,158,0,571
sendall,159,0,581
internal,160,0,584
internal,161,0,586
sendall,162,1,596
received,163,1,599
received,164,0,601
internal,165,0,604
internal,166,0,606
received,167,0,609
internal,168,0,612
received,169,0,615
internal,170,0,618
send,171,1,624
received,172,0,627
internal,173,0,629
internal,174,0,632
internal,175,0,634
send,176,0,642
sendall,177,1,652
received,180,0,655
received,182,0,658
send,183,0,665
internal,184,0,667
received,185,0,670
internal,186,0,672
sendall,187,0,682
received,188,0,684
internal,189,0,687
send,190,0,693
sendall,191,0,702
sendall,192,1,712
received,199,0,715
internal,200,0,718
sendall,201,0,728
internal,202,0,730
sendall,203,1,742
received,206,0,745
internal,207,0,747
internal,208,0,750
received,212,0,752
send,213,0,758
received,214,0,761
send,215,0,768
internal,216,0,770
internal,217,0,773
internal,218,0,775
send,219,0,782
send,220,1,788
received,221,0,790
internal,222,0,793
internal,223,1,796
received,224,0,799
internal,225,0,801
received,226,0,804
internal,227,0,807
internal,228,0,809
internal,229,0,812
sendall,230,0,822
internal,231,0,825
sendall,232,1,837
received,234,0,840
internal,235,0,842
sendall,236,1,853
received,238,0,856
internal,239,0,858
internal,240,0,861
internal,241,0,863
sendall,242,0,874
received,246,0,877
internal,247,0,880
internal,248,0,882
internal,249,0,885
send,250,0,891
internal,251,0,894
received,253,0,897
internal,254,0,899
send,255,0,906
send,256,0,912
internal,257,0,915
received,259,0,917
internal,260,0,920
send,261,0,926
internal,262,0,929
internal,263,0,932
internal,264,0,934
send,265,1,941
received,266,0,944
internal,267,0,947
sendall,268,1,957
received,270,0,959
internal,271,0,961
internal,272,0,964
internal,273,0,967
internal,274,0,969
received,275,0,972
internal,276,0,974
received,277,0,977
send,278,1,983
received,279,0,986
sendall,280,0,995
internal,281,0,998
received,283,0,1001
sendall,284,1,1010
received,285,0,1013
send,286,0,1019
send,287,0,1026
received,290,0,1028
send,291,0,1035
internal,292,0,1038
internal,293,0,1040
internal,294,0,1043
sendall,295,1,1053
received,298,0,1055
internal,299,0,1058
internal,300,0,1061
sendall,301,1,1069
received,302,0,1072
internal,303,0,1074
send,304,0,1080
internal,305,0,1082
received,306,0,1085
send,307,0,1092
internal,308,0,1094
internal,309,0,1097
send,310,0,1102
internal,311,0,1105
internal,312,0,1107
internal,313,0,1110
internal,314,0,1113
received,315,0,1115
internal,316,0,1118
send,317,0,1125
sendall,318,1,1136
received,320,0,1139
internal,321,0,1141
internal,322,0,1144
send,323,0,1151
internal,324,0,1153
received,328,0,1156
internal,329,0,1159
send,330,0,1170
internal,331,0,1173
internal,332,0,1175
send,333,0,1184
received,337,0,1187
internal,338,0,1190
sendall,339,2,1203
received,340,1,1205
received,341,0,1208
sendall,342,0,1219
internal,343,0,1221
sendall,344,0,1235
internal,345,0,1238
internal,346,0,1240
internal,347,0,1243
received,355,0,1246
internal,356,0,1248
sendall,357,1,1259
received,359,0,1262
internal,360,0,1265
sendall,361,1,1275
received,362,0,1277
internal,363,0,1280
received,364,0,1282
internal,365,0,1285
sendall,366,1,1295
received,367,0,1298
sendall,368,1,1307
received,370,0,1310
send,371,0,1317
received,373,0,1320
send,374,1,1327
received,375,1,1330
received,376,0,1332
received,377,0,1335
internal,378,0,1337
sendall,379,1,1348
received,380,0,1351
received,381,0,1353
sendall,382,1,1365
received,383,0,1368
internal,384,0,1370
send,385,1,1376
received,386,0,1378
internal,387,0,1381
internal,388,0,1384
send,389,0,1390
internal,390,0,1393
received,391,0,1396
send,392,0,1402
send,393,0,1408
internal,394,0,1410
internal,395,0,1413
internal,396,0,1415
internal,397,0,1418
send,398,1,1425
received,399,0,1428
send,400,0,1434
send,401,0,1441
internal,402,0,1443
internal,403,0,1446
send,404,0,1453
send,405,0,1460
internal,406,0,1462
internal,407,0,1465
internal,408,0,1468
internal,409,0,1470
send,410,0,1477
send,411,0,1483
send,412,1,1490
received,426,0,1493
internal,427,0,1495
send,428,0,1501
internal,429,0,1504
internal,430,0,1507
internal,431,0,1509
internal,432,0,1512
internal,433,0,1515
send,434,1,1538
received,435,0,1541
internal,436,0,1544
send,437,1,1550
received,438,0,1553
send,439,0,1559
internal,440,0,1561
internal,441,0,1564
internal,442,0,1567
internal,443,0,1569
internal,444,0,1572
