event_type,logical_clock_time,message_queue_length,system_time
internal,1,0,14
received,4,1,27
received,5,3,39
received,7,2,50
received,8,2,63
received,9,4,75
received,14,5,87
received,15,4,98
received,17,5,109
received,18,5,120
received,19,4,133
received,20,5,145
received,25,5,158
received,26,5,171
received,27,5,183
received,33,5,196
received,34,5,208
received,39,6,220
received,44,5,232
received,45,6,243
received,46,7,255
received,55,6,266
received,59,8,279
received,60,8,291
received,68,7,303
received,69,8,315
received,71,8,328
received,72,9,341
received,74,9,352
received,75,10,364
received,76,11,377
received,79,13,388
received,87,12,400
received,88,13,412
received,89,14,424
received,92,14,436
received,93,14,448
received,96,14,458
received,97,14,469
received,98,13,480
received,100,12,491
received,101,11,504
received,103,11,515
received,104,11,527
received,105,11,540
received,109,12,553
received,112,12,565
received,113,14,578
received,114,14,589
received,115,15,601
received,117,14,612
received,119,13,624
received,123,12,635
received,133,13,648
received,144,13,661
received,149,13,672
received,151,14,685
received,152,14,697
received,156,15,709
received,158,15,722
received,160,15,735
received,161,15,746
received,162,15,759
received,163,15,771
received,164,16,781
received,177,18,793
received,178,17,804
received,182,17,815
received,184,17,827
received,188,18,838
received,189,19,851
received,191,18,863
received,192,19,875
received,193,19,885
received,203,18,898
received,204,17,910
received,205,17,922
received,213,17,934
received,216,17,947
received,219,18,957
received,220,18,968
received,221,17,980
received,222,19,992
received,223,18,1002
received,225,18,1013
received,231,19,1025
received,233,18,1036
received,234,17,1049
received,237,18,1060
received,238,19,1071
received,243,20,1082
received,246,20,1095
received,248,20,1106
received,259,20,1119
received,262,20,1131
received,266,19,1142
received,269,20,1155
received,270,19,1168
received,272,18,1178
received,279,18,1190
received,280,18,1203
received,281,18,1216
received,285,18,1228
received,287,18,1240
received,290,17,1252
received,296,17,1265
received,300,19,1277
received,301,19,1291
received,302,18,1302
received,305,19,1314
received,306,20,1327
received,308,19,1339
received,312,20,1352
received,315,20,1365
received,319,19,1375
received,324,19,1386
received,328,19,1397
received,334,19,1408
received,340,19,1420
received,343,19,1431
received,346,19,1442
received,347,19,1455
received,358,18,1465
received,362,17,1477
received,363,18,1489
received,364,18,1502
received,367,18,1515
received,369,17,1525
received,373,16,1537
received,374,16,1550
received,375,16,1562
received,380,16,1574
received,381,16,1585
received,383,15,1597
received,389,14,1610
received,390,13,1621
received,393,14,1634
received,399,15,1646
received,400,14,1657
received,401,15,1669
received,412,14,1682
received,413,17,1695
received,426,17,1706
received,429,17,1718
received,431,17,1730
received,438,18,1742
received,441,17,1754
received,444,17,1766
received,448,16,1776
received,462,16,1787
received,466,16,1799
received,468,18,1812
received,469,18,1823
received,473,19,1836
received,476,20,1848
received,480,20,1861
received,481,21,1874
received,482,21,1886
received,483,22,1898
received,484,23,1910
received,486,24,1923
received,492,24,1935
received,494,24,1948
received,495,24,1960
received,496,24,1972
received,499,24,1982
received,504,25,1995
received,507,25,2008
received,508,24,2020
received,509,23,2032
received,510,22,2045
received,513,21,2057
received,514,21,2069
received,515,21,2082
received,518,20,2093
received,519,20,2106
received,520,20,2116
received,522,20,2128
received,528,20,2141
received,531,19,2152
received,532,19,2163
received,536,20,2176
received,537,19,2188
