event_type,logical_clock_time,message_queue_length,system_time
internal,1,0,340
received,3,0,679
internal,4,0,1016
received,5,0,1353
internal,6,0,1694
internal,7,0,2034
received,8,0,2372
sendall,9,0,2744
internal,10,0,3082
send,11,0,3432
send,12,0,3773
internal,13,0,4492
received,23,0,4845
internal,24,0,5184
internal,25,0,5523
received,26,1,5863
received,31,1,6202
received,32,2,6538
received,33,1,6874
received,35,0,7211
received,41,0,7549
received,43,0,7888
sendall,44,0,8247
send,45,0,8591
received,47,0,8930
received,48,0,9269
received,54,0,9605
received,55,0,9944
internal,56,0,10281
received,58,0,10617
send,59,0,10959
send,60,0,11307
internal,61,0,11647
sendall,62,0,12015
received,69,0,12349
received,71,0,12688
received,72,0,13026
received,73,0,13365
internal,74,0,13704
internal,75,0,14041
internal,76,0,14376
received,82,0,14715
send,83,0,15053
internal,84,0,15386
received,85,0,15725
received,90,0,16063
received,92,0,16402
send,93,0,16745
received,94,0,17085
send,95,0,17434
internal,96,0,17768
internal,97,0,18107
internal,98,0,18446
received,105,0,18784
sendall,106,0,19145
internal,107,0,19484
received,111,0,19823
received,113,0,20160
internal,114,0,20499
received,115,1,20833
received,118,1,21172
received,119,0,21507
internal,120,0,21846
received,126,0,22181
received,128,0,22517
received,130,0,22856
send,131,0,23200
internal,132,0,23534
internal,133,0,23872
internal,134,0,24208
internal,135,0,24547
internal,136,0,24884
received,142,0,25222
send,143,0,25576
send,144,0,25919
received,146,0,26258
send,147,0,26608
internal,148,0,26947
received,154,0,27283
internal,155,0,27620
internal,156,0,27958
internal,157,0,28295
received,162,0,28633
internal,163,0,28972
internal,164,0,29311
received,169,0,29645
send,170,1,29993
received,171,0,30332
internal,172,0,30667
internal,173,0,31006
received,174,0,31342
send,175,0,31698
internal,176,0,32036
received,177,0,32377
sendall,178,0,32734
internal,179,0,33072
received,186,0,33406
internal,187,0,33741
internal,188,0,34077
received,195,0,34411
received,197,0,34750
send,198,0,35093
internal,199,0,35432
send,200,0,35782
internal,201,0,36121
received,207,0,36459
received,209,1,36797
received,210,0,37136
received,213,0,37471
received,214,1,37810
received,215,0,38150
received,219,0,38487
received,220,1,38825
received,221,1,39160
received,222,0,39498
received,223,0,39837
internal,224,0,40171
send,225,0,40528
received,231,0,40862
received,234,1,41201
received,235,1,41539
received,237,1,41878
received,238,1,42219
received,241,0,42558
send,242,0,42906
received,245,0,43247
received,247,0,43581
received,249,0,43920
received,251,0,44259
sendall,252,0,44613
send,253,0,44958
received,255,0,45294
internal,256,0,45630
send,257,0,45979
internal,258,0,46317
received,266,0,46654
send,267,0,46998
send,268,0,47345
received,272,0,47679
send,273,0,48028
received,276,0,48366
received,278,0,48705
internal,279,0,49043
sendall,280,0,49405
send,281,0,49749
received,286,0,50088
internal,287,0,50430
internal,288,0,50765
sendall,289,0,51124
internal,290,0,51458
internal,291,0,51797
received,297,0,52134
received,299,0,52473
internal,300,0,52812
received,302,0,53148
send,303,0,53497
internal,304,0,53835
send,305,0,54186
send,306,0,54535
received,313,0,54875
received,315,0,55214
received,316,0,55551
send,317,0,55905
internal,318,0,56241
received,322,0,56580
received,325,0,56914
received,326,0,57253
received,327,0,57592
internal,328,0,57927
internal,329,0,58266
send,330,0,58615
internal,331,0,58952
received,337,0,59292
internal,338,0,59637
received,341,0,59976
received,342,0,60318
