event_type,logical_clock_time,message_queue_length,system_time
send,1,0,295
received,4,0,551
send,5,1,838
received,6,0,1090
send,7,0,1353
internal,8,0,1609
internal,9,0,1865
internal,10,0,2121
received,15,0,2373
internal,16,0,2629
received,17,0,2895
send,18,0,3170
received,20,1,3426
received,21,0,3683
internal,22,0,3949
internal,23,1,4223
received,25,0,4479
received,27,0,4734
internal,28,0,4990
sendall,29,0,5251
internal,30,0,5507
received,33,0,5762
received,34,0,6018
internal,35,0,6272
send,36,0,6576
internal,37,0,6828
internal,38,0,7084
send,39,0,7352
received,43,0,7608
received,45,0,7862
internal,46,0,8115
internal,47,0,8370
received,49,0,8624
received,51,0,8878
internal,52,0,9132
internal,53,0,9388
received,56,0,9641
internal,57,0,9897
received,59,0,10153
internal,60,0,10409
send,61,0,10672
internal,62,0,10923
sendall,63,0,11197
send,64,0,11463
internal,65,0,11719
send,66,0,11982
internal,67,0,12234
internal,68,0,12490
send,69,0,12758
internal,70,0,13014
internal,71,0,13267
received,78,0,13518
internal,79,0,13769
received,81,0,14024
internal,82,0,14280
internal,83,0,14536
internal,84,0,14792
received,88,0,15044
sendall,89,0,15326
internal,90,0,15578
received,93,0,15834
received,94,0,16088
internal,95,0,16341
received,98,0,16596
internal,99,0,16852
received,100,1,17107
received,101,0,17360
sendall,102,0,17628
send,103,0,17892
send,104,0,18157
internal,105,0,18409
received,110,0,18661
received,111,0,18917
internal,112,0,19173
send,113,0,19441
received,115,1,19697
received,116,0,19952
internal,117,0,20208
received,119,0,20464
sendall,120,0,20731
internal,121,0,20986
received,124,0,21240
internal,125,0,21495
received,127,0,21751
received,130,0,22007
internal,131,0,22258
internal,132,0,22510
internal,133,0,22766
internal,134,0,23018
received,136,0,23269
internal,137,0,23520
internal,138,0,23776
received,141,0,24031
received,143,0,24285
sendall,144,0,24562
sendall,145,0,24835
internal,146,0,25089
received,149,1,25342
received,150,0,25598
internal,151,0,25854
received,154,0,26107
received,155,0,26360
sendall,156,0,26636
received,159,0,26891
internal,160,0,27147
internal,161,0,27402
received,163,0,27658
internal,164,0,27914
internal,165,0,28169
received,168,0,28425
internal,169,0,28681
received,171,0,28932
sendall,172,0,29204
send,173,0,29467
internal,174,0,29723
internal,175,0,29979
received,178,0,30234
internal,179,0,30487
received,181,0,30743
received,182,1,30996
received,184,1,31251
received,185,0,31507
internal,186,0,31759
sendall,187,0,32031
send,188,0,32296
received,193,0,32552
internal,194,0,32803
received,195,0,33055
received,197,0,33306
received,199,0,33559
internal,200,0,33815
received,202,0,34066
received,203,0,34318
send,204,0,34585
internal,205,0,34840
received,207,0,35095
received,209,0,35347
received,210,0,35598
received,213,0,35853
sendall,214,0,36127
internal,215,0,36379
internal,216,0,36632
internal,217,0,36888
received,221,0,37143
received,222,0,37394
send,223,0,37660
internal,224,0,37911
received,226,0,38167
received,227,1,38421
received,228,1,38677
received,229,1,38931
received,230,1,39185
received,231,1,39437
received,234,1,39693
received,235,0,39949
internal,236,0,40205
internal,237,0,40461
internal,238,0,40714
internal,239,0,40966
received,244,0,41221
internal,245,0,41477
internal,246,0,41729
send,247,0,41999
internal,248,0,42252
internal,249,0,42505
received,252,0,42761
internal,253,0,43015
received,256,0,43271
sendall,257,0,43552
received,260,0,43808
internal,261,0,44062
internal,262,0,44314
received,264,0,44565
received,266,0,44818
send,267,0,45082
received,269,0,45338
received,270,1,45594
received,271,1,45850
received,273,0,46106
internal,274,0,46360
received,276,0,46617
internal,277,0,46870
received,279,0,47122
internal,280,0,47379
sendall,281,0,47654
received,284,0,47908
internal,285,0,48164
internal,286,0,48420
internal,287,0,48675
received,289,0,48927
internal,290,0,49184
sendall,291,0,49459
internal,292,0,49715
received,294,0,49968
received,297,0,50222
received,298,0,50475
internal,299,0,50727
received,301,0,50982
send,302,0,51253
internal,303,0,51508
received,305,0,51763
received,306,0,52020
received,309,0,52271
received,310,0,52525
sendall,311,0,52808
internal,312,0,53063
received,315,0,53319
received,317,0,53573
internal,318,0,53829
received,319,0,54083
internal,320,0,54336
received,324,0,54589
internal,325,0,54841
send,326,0,55108
internal,327,0,55364
received,330,0,55620
sendall,331,0,55897
internal,332,0,56153
internal,333,0,56406
received,336,0,56662
send,337,0,56926
received,340,0,57180
received,341,0,57432
received,342,0,57686
received,343,1,57937
received,344,0,58191
internal,345,0,58447
received,348,0,58703
internal,349,0,58955
received,352,0,59206
received,353,0,59460
sendall,354,0,59729
internal,355,1,59986
received,357,0,60242
