event_type,logical_clock_time,message_queue_length,system_time
received,3,1,1006
received,5,1,2011
received,7,0,3017
received,18,1,4022
received,19,0,5028
received,26,0,6030
received,32,0,7036
received,38,1,8041
received,39,1,9046
received,42,2,10052
received,46,3,11056
received,48,5,12062
received,54,6,13063
received,55,6,14069
received,57,6,15073
received,58,6,16075
received,59,7,17081
received,65,7,18088
received,67,9,19090
received,73,9,20095
received,76,9,21101
received,81,8,22104
received,84,8,23110
received,86,8,24113
received,91,9,25117
received,94,11,26119
received,95,12,27123
received,98,12,28128
received,104,14,29134
received,105,14,30136
received,116,14,31142
received,120,15,32148
received,128,16,33153
received,129,17,34155
received,131,19,35157
received,132,19,36166
received,134,18,37196
received,136,20,38202
received,137,20,39204
received,144,21,40206
received,148,22,41211
received,149,21,42215
received,150,21,43221
received,153,22,44227
received,158,23,45233
received,162,22,46235
received,164,24,47240
received,168,26,48245
received,169,25,49248
received,171,26,50250
received,174,26,51256
received,177,28,52259
received,179,28,53264
received,180,28,54269
received,186,29,55274
received,194,30,56276
received,196,31,57281
received,197,34,58282
received,198,35,59288
received,202,35,60293
