event_type,logical_clock_time,message_queue_length,system_time
internal,1,0,149
received,4,0,298
send,5,0,462
send,6,0,616
internal,7,0,764
internal,8,0,909
send,9,0,1068
send,10,0,1224
received,12,0,1372
received,14,0,1520
received,15,0,1663
send,16,0,1816
internal,17,0,1965
internal,18,0,2113
send,19,0,2268
internal,20,0,2416
received,24,0,2564
internal,25,0,2713
internal,26,0,2861
send,27,0,3020
internal,28,0,3166
received,31,0,3314
internal,32,0,3459
sendall,33,0,3617
send,34,0,3774
internal,35,0,3923
sendall,36,0,4090
send,37,1,4252
received,39,1,4396
received,41,0,4545
received,43,0,4692
sendall,44,0,4850
internal,45,0,4994
send,46,0,5158
received,50,0,5308
received,51,0,5453
send,52,1,5612
received,53,1,5761
received,54,1,5904
received,55,0,6051
received,58,0,6198
received,59,0,6346
internal,60,0,6495
received,62,1,6638
received,63,0,6787
received,64,0,6932
received,65,0,7077
send,66,0,7235
received,68,0,7383
send,69,0,7547
received,71,0,7695
send,72,0,7857
internal,73,0,8005
send,74,0,8164
received,76,0,8313
send,77,0,8478
internal,78,0,8627
send,79,0,8781
send,80,0,8939
internal,81,0,9087
received,85,0,9234
received,86,0,9383
internal,87,0,9527
received,88,0,9676
received,89,0,9824
internal,90,0,9972
received,92,0,10117
send,93,0,10284
send,94,0,10446
received,96,1,10596
received,97,0,10744
received,98,0,10887
received,99,0,11035
internal,100,0,11184
internal,101,0,11328
received,104,0,11476
received,106,0,11625
sendall,107,0,11775
internal,108,0,11923
received,110,0,12071
sendall,111,0,12231
internal,112,0,12379
received,114,2,12527
received,115,1,12675
received,116,1,12824
received,118,0,12972
internal,119,0,13120
sendall,120,0,13277
internal,121,0,13424
send,122,0,13578
sendall,123,0,13740
send,124,0,13895
sendall,125,0,14052
send,126,0,14206
received,131,0,14354
send,132,1,14521
received,133,0,14667
send,134,0,14833
internal,135,0,14981
internal,136,0,15129
sendall,137,0,15310
received,141,0,15456
sendall,142,0,15617
internal,143,0,15766
received,145,0,15914
received,147,0,16061
internal,148,0,16209
received,149,0,16357
